UnitNameValue	UnitIcon	UnitPortrait	TrainingIcon	ImpIcon	MOVValue	CCValue	BSValue	PHValue	WIPValue	ARMValue	BTSValue	WValue	AVAValue	SWCCost	UnitCost	UnitNotesValue	Ability1Title	Ability1Text	Ability2Title	Ability2Text	Weapon1Value	Weapon2Value	Weapon3Value	Weapon4Value	Weapon5Value
Fusiliers	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\PanO\280235-0203-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\PanO\280235-0203.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	13	12	10	12	1	0	1	T	0	10						Combi Rifle	Knife	Pistol			
Fusiliers - HMG	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\PanO\280235-0203-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\PanO\280235-0203.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	13	12	10	12	1	0	1	T	1	19						HMG	Knife	Pistol			
Fusiliers - Hacker	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\PanO\280235-0203-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\PanO\280235-0203.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	13	12	10	12	1	0	1	T	0.5	22	Hacker, Hacking Device	 Hacking Device	This allows computer attacks to be performed against other systems and devices and also to defend against a cyberattack. See Hacker combat rules for details. All Hacking Devices are Repeaters for the other Hackers of the same army. . The Hacking Device Plus has an additional advanced system of Localization-Identification-Liaison that works as a Forward Observer, but only within the Hacker's, or his Repeater's, Zone of Control (8 inches): LoF with the enemy is not required. In order to mark a target with the Hacker Device Plus Forward Observer function, it is necessary to spend an Order and pass a WIP Roll. The target can react by Dodging the marking of the Forward Observer Hacking Device Plus, provided he has LoF.			Combi Rifle	Knife	Pistol			
Fusiliers - Missile	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\PanO\280235-0203-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\PanO\280235-0203.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	13	12	10	12	1	0	1	T	1	26						Missile Launcher	Knife	Pistol			
Fusiliers - Grenadier	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\PanO\280235-0203-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\PanO\280235-0203.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	13	12	10	12	1	0	1	T	1	15						Light GL	Combi Rifle	Knife	Pistol		
Fusiliers - Sniper	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\PanO\280235-0203-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\PanO\280235-0203.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	13	12	10	12	1	0	1	T	1.5	24						MULTI Sniper Rifle	Knife	Pistol			
Fusiliers - Lieutenant	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\PanO\280235-0203-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\PanO\280235-0203.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	13	12	10	12	1	0	1	T	0	10	Lieutenant					Combi Rifle	Knife	Pistol			
Fusiliers - Paramedic	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\PanO\280235-0203-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\PanO\280235-0203.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	13	12	10	12	1	0	1	T	0	14	MediKit	MediKit	This is a wound recovery medical device carried by all Paramedics. It is used to heal Unconscious miniatures. Using the MediKit is a Short Skill that requires a PH Roll with a -3 Modifier by the patient. If he fails his roll, he will immediately pass to the Dead state and will be removed from the game table. If he passes the roll, the patient recovers 1 Wound, automatically leaving the Unconscious state and contributing his Order again to the Orders Reserve of his army in the next active turn. With a MediKit, miniatures can be healed from the Unconscious state as many times as necessary, provided they pass their PH-3 Rolls. Human MediKits do not work on Aliens (Assault Packs, Dog-Warriors, etc.) and vice versa. The MediKit is the most frequent medical system of nano-injection on battlefields. There are several syringe models; the most modern being a device with the form of a gun, using a chamber with a magnetic coil. After introducing the nanotreatment cartridge and pulling the electric trigger, the magnetic field accelerator injects at high speed the medical nanobots suspended in the cartridge serum. Other versions of the MediKit are the hypo-spray, with a lower speed performance, or the archaic pneumatic pistols.  			Combi Rifle	Knife	Pistol			
Fusiliers - FO	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\PanO\280235-0203-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\PanO\280235-0203.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	13	12	10	12	1	0	1	T	0	14	Forward Observer	Forward Observer	Forward Observer is a Short Skill. A Forward Observer in LoF with an enemy will be able to mark him after passing a WIP roll (Face to Face, or Normal, depending on the case), modified by Covers, Distance, Camouflage and Hiding Special Skill, or an Optical Disruptor Device. Distance Modifiers for marking with Forward Observer are applied as per the following table: There are two types of attacks that can be made as a result of the marking by a Forward Observer:   Speculative: When the Forward Observer passes his WIP Roll, the target remains marked for any other comrade that wants to shoot at that target, and the Speculative Fire Modifier is not applied.   Guided: When the Forward Observer passes his WIP Roll the target will remain marked for any other comrade possessing a weapon with Guided Ammunition. This figure will be able to use the Short Skill Ballistic Skills to hit the marked miniature without a roll required, as the WIP Roll of the Observer substitutes.   A miniature marked by a Forward Observer will be considered as marked until the end of the turn of the player possessing the Observer that marked it. The special equipment of Forward Observers allows them to use the Flash Pulse.  			Combi Rifle	Knife	Pistol			
Kamau	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\PanO\280224-0135-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\PanO\280224-0135.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	13	13	10	13	1	-6	1	3	0	16	Aquatic Terrain					Combi Rifle	Knife	Pistol			
